epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.851325970429641,6.623675,0.9179999914550782,3.5180000149536133
1,5.919657267056978,4.226630625,18.840000064697264,39.634
2,5.076968449812669,3.3595,31.00000003417969,55.46600000976562
3,4.522340673666734,2.863588125,39.57599998046875,64.37199994140624
4,4.300064719640291,2.54554375,44.928000070800785,69.8019999194336
5,4.163021839582003,2.4149921875,47.272,72.07599998535156
6,3.8453271939204288,2.235290625,50.66200000488281,74.89800001220704
7,3.8337928515214186,2.126098125,52.84799998779297,76.92400005615234
8,3.632772500698383,2.063840625,53.81799998046875,77.83000001708984
9,3.5491847533446093,1.942819375,55.93000008300781,79.32399993408202
10,3.505687576073867,1.921355,56.78000001220703,79.758
11,3.4618344398645253,1.8746121875,57.62000008544922,80.63799999267579
12,3.53402880521921,1.8645065625,57.469999921875,80.6579999609375
13,3.3631329719836893,1.832538125,58.37200009765625,81.03200006347656
14,3.304042403514569,1.88656,57.67200003173828,80.58600004882813
15,3.2651858788270216,1.812584375,59.01999997558594,81.39000001708985
16,3.2866745545313907,1.765841875,59.72799994140625,82.12999998291015
17,3.290434956550598,1.72873015625,60.30400001464844,82.62600011230468
18,3.2355117797851562,1.742503125,60.118000112304685,82.53999994140625
19,3.244670794560359,1.6906840625,61.11000009765625,83.1619999584961
20,3.2712061130083523,1.7168125,60.87399998535156,82.96400005859375
21,3.1608812625591574,1.756395,59.84000009033203,82.13000010986327
22,3.284954181084266,1.70254578125,61.10200009277344,83.22200008544922
23,3.2446869061543393,1.63187375,62.45200002441406,83.95999994384766
24,3.104856619468102,1.65702953125,61.83800006835938,83.74200003417968
25,3.1481606501799364,1.679905625,61.45199995117188,83.5220000366211
26,3.0875162253013024,1.698740625,60.948000017089846,83.31400009521484
27,3.1754605036515455,1.68039125,61.159999990234375,83.2920000390625
28,3.11028567644266,1.66626875,61.912000026855466,83.5259998876953
29,3.123984327683082,1.63173171875,62.374000012207034,83.95799992919922
30,2.965743211599497,1.6300396875,62.35799994140625,84.33400010253906
31,3.152051357122568,1.65950828125,61.94200006835938,83.67999998046875
32,3.062840828528771,1.6305628125,62.44399994873047,83.98999990966797
33,2.9994474832828226,1.6454928125,62.06399995117187,83.70399999023438
34,3.0559006929397583,1.68770890625,61.40400004638672,83.26800013671875
35,3.039357277063223,1.638993125,62.234000053710936,84.18800004150391
36,3.134071157528804,1.603541875,63.09400008789063,84.58000010498047
37,3.040207000879141,1.63895859375,62.74400006347656,84.16200003173829
38,3.0961894805614767,1.57760046875,63.35599993896484,84.86199998291016
39,3.095629875476544,1.66655125,62.1219999609375,83.97200003417969
40,2.980345139136681,1.62031125,62.52399997558594,84.44800006835938
41,3.0645816142742452,1.62259015625,62.62799999023437,84.17600005859374
42,3.031717538833618,1.6541265625,61.88600000732422,84.00999995117188
43,2.9869489944898167,1.60377765625,62.90600013671875,84.79999997558593
44,3.0056263483487644,1.620506875,62.66000009521484,84.38000008544923
45,2.9856167481495786,1.55028921875,63.806000141601565,85.3
46,3.015970835318932,1.602415,62.8560000390625,84.57600006103516
47,3.0315151856495786,1.58812875,63.347999956054686,84.72400005126953
48,2.9838892221450806,1.5757121875,63.41399995849609,85.02799998291016
49,3.092999586692223,1.5474046875,63.952000029296876,85.25800005371094
50,3.034923865244939,1.5981928125,63.269999990234375,84.86400008789063
51,3.053923478493324,1.589190625,63.49400009277344,84.78000008789063
52,3.0026745154307437,1.5429184375,64.43399995849609,85.62399992675782
53,3.0404413571724525,1.551691875,63.838000063476564,85.20800008789062
54,2.974553493353037,1.56626265625,63.72399993164063,85.1600000390625
55,2.994220110086294,1.5911371875,63.185999982910154,84.9600000024414
56,2.9381311489985538,1.60034375,63.05200000976563,84.78800010742188
57,2.901017977641179,1.494025,64.94600000732422,86.15399998046875
58,2.844705948462853,1.54066140625,64.28400006347657,85.30399998046875
59,2.9434598684310913,1.59591125,63.2059999609375,84.78999995361328
60,3.006115968410785,1.5020284375,65.01000009033203,85.95200006103515
61,2.937732247205881,1.5631571875,63.4420000390625,85.24999993164063
62,2.8869841740681577,1.5532284375,63.89999995117188,85.27600002929688
63,2.962336072554955,1.568528125,63.51000009521484,85.13000000488282
64,2.9729933647009044,1.5301178125,64.29599999267577,85.56999998291016
65,2.9744907800967875,1.6079865625,63.09200016113281,84.7219999584961
66,2.9750403349216166,1.5599996875,63.7260000390625,85.32800003662109
67,2.940189526631282,1.5141675,64.50600006347656,85.77000005371094
68,2.8781311420293956,1.53128875,64.36999998535157,85.47600010986328
