epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.860390492847988,6.684785,0.8520000018310547,3.155999995727539
1,6.206609623772757,4.67270875,13.858000021972657,32.130000028076175
2,5.671616349901472,3.75056375,26.31000000366211,49.911999936523436
3,5.2064963068280905,3.3365875,33.0819999609375,58.359999995117185
4,5.093505450657436,2.974606875,40.290000020751954,65.63199994628906
5,4.728274890354702,2.7621725,44.356000002441405,69.28399993652344
6,4.816810267312186,2.55055375,47.259999926757814,72.2220000415039
7,4.473838022777012,2.4208790625,49.72000002929688,74.87400006835938
8,4.412432040487017,2.3154021875,51.701999987792966,76.52599997802734
9,4.3790644236973355,2.3062646875,52.246000024414066,76.65400003173828
10,4.4136810302734375,2.255291875,53.54400008789062,77.7999999975586
11,4.418605361665998,2.282631875,53.40399996582031,77.61800000488282
12,4.240330270358494,2.124475,56.12800013183594,79.90999997070313
13,4.261222430637905,2.1014103125,56.31200006103516,80.15400002685547
14,4.161127209663391,2.0834475,57.120000029296875,80.69000009521484
15,4.168880547795977,2.12876125,57.05000005126953,80.47400011962891
16,4.206446153776986,2.0792653125,57.25800002929687,80.90800004394531
17,4.186691897256034,2.03574625,58.162000048828126,81.3639999633789
18,4.088367121560233,2.04762875,58.92600005615235,82.14999998535156
19,4.251847692898342,1.9212284375,59.69600009765625,82.34000009521485
20,4.037987555776324,1.9772728125,59.419999973144535,82.48800002197265
21,4.082366534641811,1.9015928125,60.215999943847656,82.92600006591798
22,4.107413325990949,1.9583340625,60.24600010742188,82.93800004882813
23,4.074281385966709,1.9721496875,60.04199997558594,82.89799990722656
24,3.895136662891933,1.901763125,60.466000021972654,83.3259999633789
25,3.8776629652295793,1.9043625,60.15600002197266,83.13199993408203
26,3.7869468246187483,1.872674375,60.90799997070312,83.39600011962891
27,3.9217854057039534,1.94198375,60.39000005859375,83.18800013671876
28,3.9992407390049527,1.8464615625,62.157999963378906,84.29599998046875
29,4.125732489994594,1.9487765625,60.610000014648435,83.45200005859375
30,3.8359393903187344,1.9713440625,60.860000087890626,83.43599990722656
31,4.081788216318403,2.031781875,60.52000005371094,83.24399999267578
32,4.018789325441633,1.8596303125,61.75399996582031,84.23399997802734
33,3.8295574528830394,1.8638625,61.74199993164063,84.32800003417968
34,3.80592109475817,1.8984434375,61.79800001953125,83.9719999609375
35,4.10977532182421,1.8381721875,62.11599999267578,84.54200008789063
36,3.9426370348249162,1.887294375,61.13399999267578,83.75200005615234
